Wall time,Step,Value
1622890128.499037,18,-977.99951171875
1622890151.566829,24,-973.0403442382812
1622890212.888921,40,-979.6585083007812
1622890220.550883,42,-978.46435546875
1622890232.023652,45,-976.7750244140625
1622890274.83471,56,-966.0733642578125
1622890333.888767,71,-966.2457275390625
1622890345.465553,74,-965.2431640625
1622890425.607589,94,-977.1566162109375
1622890457.670151,102,-961.582763671875
1622890474.004814,106,-971.0817260742188
1622890552.911511,126,-950.7496948242188
1622890666.663568,155,-953.3865966796875
1622890679.097501,158,-952.1647338867188
1622890715.067954,167,-942.9581298828125
1622890758.165949,178,-962.15966796875
1622890777.86705,183,-969.77001953125
1622890785.783777,185,-959.5667114257812
1622890805.739408,190,-965.2922973632812
1622890961.181077,229,-981.2990112304688
1622890980.950256,234,-973.3564453125
1622891039.510432,249,-971.36474609375
1622891063.218261,255,-977.837158203125
1622891082.991552,260,-970.9592895507812
1622891110.121381,267,-973.6611938476562
1622891133.418546,273,-967.8724365234375
1622891207.756657,292,-973.749267578125
1622891271.538513,308,-972.2632446289062
1622891279.496452,310,-977.7889404296875
1622891310.614833,318,-974.66943359375
1622891357.811864,330,-966.2068481445312
1622891393.320289,339,-973.0977172851562
1622891424.474554,347,-960.0330810546875
1622891487.079643,363,-968.2403564453125
1622891502.823889,367,-966.072509765625
1622891714.998009,421,-974.4729614257812
1622891718.999591,422,-978.6332397460938
1622891785.167131,439,-979.6007690429688
1622891797.217058,442,-987.3621826171875
1622891809.136333,445,-977.7285766601562
1622891868.36715,460,-985.0151977539062
1622891880.127203,463,-967.0370483398438
1622891884.108634,464,-982.700439453125
1622891923.478512,474,-978.55322265625
1622891997.740703,493,-868.9015502929688
1622892080.999945,514,-982.0841064453125
1622892147.889285,531,-810.6697998046875
1622892167.689526,536,-988.9193725585938
1622892274.214854,563,-674.2398681640625
1622892314.143712,573,-948.3870849609375
1622892338.187139,579,-747.2174072265625
1622892366.30931,586,-841.7780151367188
1622892370.31221,587,-758.834716796875
1622892430.854767,602,-682.22216796875
1622892502.174549,620,-786.4143676757812
1622892510.248674,622,-757.05615234375
1622892558.267019,634,-837.98486328125
1622892586.050688,641,-781.853271484375
1622892589.965317,642,-952.0625
1622892597.7922,644,-937.0845336914062
1622892609.555078,647,-961.173583984375
1622892617.388568,649,-774.166259765625
1622892665.680394,661,-827.2282104492188
1622892705.942994,671,-917.3355102539062
1622892774.358131,688,-723.9192504882812
1622892878.346095,714,-882.837646484375
1622892894.048275,718,-891.8624877929688
1622892910.000232,722,-970.321533203125
1622892942.190117,730,-942.1427612304688
1622892978.361739,739,-942.6835327148438
1622892994.331436,743,-731.546142578125
1622893030.340914,752,-691.11962890625
1622893046.182926,756,-732.0353393554688
1622893081.472708,765,-936.4445190429688
1622893097.124406,769,-993.2283325195312
1622893104.957597,771,-834.876708984375
1622893112.843539,773,-798.343994140625
1622893140.906714,780,-876.5299682617188
1622893160.629278,785,-921.6885375976562
1622893168.472192,787,-841.577880859375
1622893188.837108,792,-824.121337890625
1622893196.873164,794,-711.5847778320312
1622893213.022094,798,-671.980224609375
1622893229.229627,802,-816.7913208007812
1622893253.25757,808,-987.08056640625
1622893257.279686,809,-909.140869140625
1622893348.097956,832,-759.8736572265625
1622893363.810047,836,-739.4310913085938
1622893493.550657,869,-777.8864135742188
1622893521.115614,876,-988.9674072265625
1622893544.694628,882,-782.8016357421875
1622893600.794907,896,-945.6646118164062
1622893617.173995,900,-724.3850708007812
1622893645.493734,907,-708.1553344726562
1622893653.564973,909,-752.7568359375
1622893677.739133,915,-787.4495849609375
1622893685.708429,917,-797.0924072265625
1622893741.462859,931,-735.9922485351562
1622893745.366035,932,-805.1051635742188
1622893785.499668,942,-726.2080078125
1622893797.385079,945,-792.1253051757812
1622893833.786867,954,-748.9827880859375
1622893850.011363,958,-988.65771484375
1622893866.253971,962,-815.687744140625
1622893902.346087,971,-936.9133911132812
1622893906.356933,972,-780.8628540039062
1622893930.729694,978,-729.3772583007812
1622893934.80123,979,-711.06787109375
1622893955.008544,984,-789.6651611328125
1622894027.746299,1002,-870.975341796875
1622894039.87832,1005,-782.88720703125
1622894075.622571,1014,-902.7981567382812
1622894196.115596,1044,-760.3177490234375
1622894247.811124,1057,-738.0515747070312
1622894271.645705,1063,-753.7031860351562
1622894283.517296,1066,-739.0535278320312
1622894291.484873,1068,-804.044677734375
1622894307.487511,1072,-876.036865234375
