Wall time,Step,Value
1622988828.821753,4,-994.319580078125
1622988881.442188,18,-997.0331420898438
1622988965.042698,40,-999.6787719726562
1622988992.003763,47,-999.3826293945312
1622988995.820529,48,-999.1455078125
1622989048.725988,62,-998.1423950195312
1622989052.586277,63,-999.6220092773438
1622989067.973281,67,-998.960205078125
1622989083.248169,71,-999.7249755859375
1622989106.418843,77,-997.70751953125
1622989125.634234,82,-999.6690673828125
1622989152.62188,89,-999.62841796875
1622989191.343962,99,-998.734619140625
1622989207.074359,103,-996.8954467773438
1622989222.300462,107,-999.6301879882812
1622989275.818205,121,-999.7164306640625
1622989291.18084,125,-998.7385864257812
1622989295.057029,126,-999.62744140625
1622989302.718403,128,-999.00244140625
1622989310.258179,130,-999.4733276367188
1622989363.408155,144,-998.6504516601562
1622989374.830744,147,-998.9287109375
1622989413.178435,157,-999.7197265625
1622989424.568274,160,-999.8140869140625
1622989432.206966,162,-999.6384887695312
1622989439.959713,164,-999.81396484375
1622989470.674912,172,-999.1402587890625
1622989489.820775,177,-998.8222045898438
1622989543.311489,191,-999.3016357421875
1622989589.989964,203,-998.9533081054688
1622989597.639987,205,-999.7147216796875
1622989628.095658,213,-999.0863037109375
1622989688.782148,229,-997.8336181640625
1622989745.638096,244,-997.7816772460938
1622989749.39101,245,-998.6351928710938
1622989799.711636,258,-990.3875122070312
1622989803.573079,259,-992.7035522460938
1622989849.653161,271,-997.4430541992188
1622989861.222565,274,-985.9618530273438
1622989891.695824,282,-959.0031127929688
1622989903.037492,285,-997.5751953125
1622989940.885309,295,-921.7132568359375
1622989990.551726,308,-987.4667358398438
1622990021.010548,316,-996.5570068359375
1622990032.414695,319,-843.2737426757812
1622990043.794336,322,-975.4628295898438
1622990132.40577,345,-998.6122436523438
1622990136.274231,346,-887.7518310546875
1622990182.733642,358,-904.041259765625
1622990205.936547,364,-809.0403442382812
1622990209.880495,365,-773.4478149414062
1622990213.775464,366,-956.851806640625
1622990259.819121,378,-838.5161743164062
1622990290.245507,386,-739.03271484375
1622990305.993815,390,-959.6873779296875
1622990313.824254,392,-994.6600341796875
1622990353.104338,402,-882.5540161132812
1622990360.808228,404,-788.4317016601562
1622990403.370842,415,-818.66748046875
1622990430.39632,422,-920.5077514648438
1622990483.933237,436,-809.708984375
1622990487.710436,437,-977.6581420898438
1622990495.456592,439,-971.6041259765625
1622990522.79885,446,-839.3828125
