Wall time,Step,Value
1622531292.02458,5,-941.40966796875
1622531330.60551,15,-910.6138916015625
1622531342.797838,18,-928.3762817382812
1622531369.629595,24,-954.4236450195312
1622531434.658693,40,-754.935791015625
1622531442.370663,42,-923.6766967773438
1622531450.11519,44,-970.2831420898438
1622531454.026515,45,-744.6736450195312
1622531461.808005,47,-741.8408813476562
1622531484.77714,53,-928.7108154296875
1622531496.214325,56,-975.0088500976562
1622531531.088777,65,-822.1431274414062
1622531554.570655,71,-767.531982421875
1622531558.470606,72,-870.42822265625
1622531562.501686,73,-754.030029296875
1622531566.394464,74,-809.6984252929688
1622531586.081951,79,-774.29248046875
1622531616.984863,87,-957.1239624023438
1622531643.888529,94,-896.5264892578125
1622531676.246166,102,-956.126953125
1622531688.101545,105,-769.845458984375
1622531692.01634,106,-719.7899169921875
1622531719.304028,113,-795.9036865234375
1622531738.565299,118,-790.81787109375
1622531769.457791,126,-847.7371215820312
1622531785.050491,130,-876.8175048828125
1622531820.158949,139,-696.1724853515625
1622531863.302359,150,-708.0925903320312
1622531882.890322,155,-848.3983154296875
1622531894.698284,158,-772.28125
1622531929.818381,167,-966.5668334960938
1622531933.76204,168,-740.4417114257812
1622531972.841108,178,-965.71533203125
1622531992.332242,183,-754.8643798828125
1622532000.178543,185,-697.4575805664062
1622532004.108936,186,-694.8343505859375
1622532019.741192,190,-821.7100830078125
1622532051.015802,198,-789.1566772460938
1622532083.121083,206,-745.3807373046875
1622532087.01788,207,-790.9423828125
1622532091.050287,208,-765.8667602539062
1622532106.856471,212,-751.92138671875
1622532156.898377,223,-769.1456298828125
1622532184.543363,229,-718.9458618164062
1622532207.675915,234,-738.2457885742188
1622532221.526462,237,-754.428466796875
1622532276.939712,249,-728.268798828125
1622532304.482808,255,-768.437744140625
1622532327.476383,260,-674.01220703125
1622532339.121432,263,-745.609619140625
1622532354.623669,267,-740.7476806640625
1622532370.126588,271,-719.4122314453125
1622532377.863005,273,-878.0418701171875
1622532452.172653,292,-815.2202758789062
1622532474.776273,297,-745.581787109375
1622532479.355768,298,-725.9890747070312
1622532500.921648,303,-819.3077392578125
1622532520.472037,308,-789.4055786132812
1622532528.277475,310,-775.3253173828125
1622532559.482154,318,-787.5348510742188
1622532563.397627,319,-722.2214965820312
1622532586.717107,325,-717.304443359375
1622532590.573744,326,-796.9972534179688
1622532594.486372,327,-752.4537353515625
1622532606.11101,330,-821.7188110351562
1622532641.329059,339,-772.0489501953125
1622532672.575103,347,-741.068603515625
1622532736.815444,363,-790.3944091796875
1622532752.780157,367,-692.939208984375
1622532776.697153,373,-836.9486083984375
1622532792.545411,377,-700.8870849609375
1622532800.473121,379,-779.8291625976562
1622532855.769099,391,-729.4642944335938
1622532860.2788,392,-709.920654296875
1622532930.489338,408,-699.6945190429688
1622532981.835876,421,-700.02783203125
1622532985.808324,422,-684.4971923828125
1622532993.697743,424,-782.0134887695312
1622533017.437086,430,-726.094482421875
1622533053.15059,439,-729.406494140625
1622533061.151873,441,-738.0897216796875
1622533065.180543,442,-767.2103271484375
1622533077.330143,445,-816.2484741210938
1622533101.303333,451,-738.6729736328125
1622533143.071212,460,-704.5345458984375
1622533156.811216,463,-798.4446411132812
1622533161.442148,464,-799.912109375
1622533202.848027,473,-701.7369995117188
1622533207.484366,474,-816.4993896484375
1622533276.657739,489,-709.1751708984375
1622533286.009038,491,-811.7371215820312
1622533295.393517,493,-690.046875
1622533360.103453,507,-796.171142578125
1622533379.755327,512,-728.7772827148438
1622533387.606527,514,-741.6520385742188
1622533401.219141,517,-709.1969604492188
1622533437.627615,525,-754.8272094726562
1622533464.949935,531,-702.4332885742188
1622533474.064462,533,-721.1154174804688
1622533487.799481,536,-771.1328125
1622533515.735425,542,-734.4425048828125
1622533539.139759,547,-904.2508544921875
1622533585.839327,557,-837.6773071289062
1622533595.193742,559,-717.619873046875
1622533614.024837,563,-815.5992431640625
1622533641.88167,569,-804.49267578125
1622533660.372739,573,-730.6801147460938
1622533665.03071,574,-713.3434448242188
1622533688.179304,579,-847.4413452148438
1622533697.473206,581,-693.1036987304688
1622533702.158385,582,-751.4766235351562
1622533711.450624,584,-779.865234375
1622533720.747208,586,-700.234375
1622533725.34247,587,-965.3309326171875
1622533748.585224,592,-711.7521362304688
1622533753.180469,593,-716.9060668945312
1622533794.114973,602,-792.7180786132812
1622533820.490929,608,-740.617919921875
1622533829.642032,610,-730.0556640625
1622533852.55217,615,-781.5149536132812
1622533875.379357,620,-800.6005859375
1622533884.516475,622,-781.5096435546875
1622533933.690881,634,-905.3140258789062
1622533962.091458,641,-732.3062744140625
1622533966.103851,642,-725.3530883789062
1622533974.178753,644,-744.3495483398438
1622533978.250494,645,-779.4891357421875
1622533982.268272,646,-727.3174438476562
1622533986.332017,647,-734.14208984375
1622533995.040137,649,-804.3632202148438
1622534008.925368,652,-696.971435546875
1622534027.288072,656,-748.8621826171875
1622534048.623724,661,-726.939697265625
1622534060.433429,664,-947.5037231445312
1622534076.214265,668,-829.7330932617188
1622534088.060269,671,-758.514404296875
