Wall time,Step,Value
1622735525.384947,5,-746.6417236328125
1622735575.246311,18,-923.3768310546875
1622735598.384042,24,-992.5377197265625
1622735659.918534,40,-986.7800903320312
1622735667.526708,42,-983.947509765625
1622735679.086353,45,-985.0322875976562
1622735709.69332,53,-947.7094116210938
1622735721.1574,56,-954.620361328125
1622735779.145273,71,-883.8714599609375
1622735790.825859,74,-945.440185546875
1622735868.94215,94,-934.3768920898438
1622735900.157301,102,-937.3070678710938
1622735915.573374,106,-965.0570678710938
1622735993.422847,126,-751.05322265625
1622736043.891338,139,-936.6351318359375
1622736105.954124,155,-773.5858154296875
1622736117.441995,158,-799.4472045898438
1622736152.387569,167,-724.2759399414062
1622736194.956648,178,-675.1116333007812
1622736214.135083,183,-705.7661743164062
1622736221.79476,185,-675.7815551757812
1622736225.644116,186,-683.0584106445312
1622736241.159627,190,-707.016845703125
1622736307.35846,207,-757.3222045898438
1622736393.495967,229,-676.6248779296875
1622736413.206833,234,-645.6726684570312
1622736471.964013,249,-640.582275390625
1622736495.614461,255,-682.494140625
1622736515.353574,260,-671.7775268554688
1622736542.939574,267,-665.2566528320312
1622736558.684698,271,-675.2606811523438
1622736566.564777,273,-630.2772216796875
1622736641.252287,292,-764.4569702148438
1622736703.449108,308,-726.8409423828125
1622736711.248808,310,-683.0835571289062
1622736742.676238,318,-769.591796875
1622736789.960793,330,-717.8916015625
1622736824.821403,339,-641.512451171875
1622736856.007292,347,-627.8416137695312
1622736918.292329,363,-696.829833984375
1622736933.927163,367,-734.5502319335938
1622737146.737938,421,-676.7305908203125
1622737150.635862,422,-663.5371704101562
1622737216.821194,439,-713.9666748046875
1622737228.782159,442,-710.0577392578125
1622737240.671702,445,-674.1026611328125
1622737300.440033,460,-714.8992309570312
1622737312.22433,463,-656.7504272460938
1622737316.231124,464,-669.7576904296875
1622737355.153692,474,-715.6420288085938
1622737422.593842,491,-708.5494995117188
1622737430.5262,493,-657.7330932617188
1622737514.520611,514,-652.2113037109375
1622737582.337184,531,-687.6615600585938
1622737602.078622,536,-696.2293090820312
1622737707.221989,563,-672.0643310546875
1622737746.161961,573,-691.2926025390625
1622737769.490072,579,-663.7708740234375
1622737777.265023,581,-664.8622436523438
1622737796.718554,586,-700.5032958984375
1622737800.590393,587,-682.4480590820312
1622737859.516027,602,-657.0324096679688
1622737929.82242,620,-670.0336303710938
1622737937.626195,622,-674.1558837890625
1622737985.493661,634,-667.6009521484375
1622738013.595705,641,-662.89794921875
1622738017.570576,642,-650.4722900390625
1622738025.596498,644,-694.481201171875
1622738037.637525,647,-663.9878540039062
1622738045.537633,649,-662.613525390625
1622738092.877026,661,-718.5841674804688
1622738132.573096,671,-668.0015869140625
1622738180.268694,683,-673.72119140625
1622738200.040892,688,-682.935546875
1622738303.233774,714,-653.6050415039062
1622738319.052996,718,-673.5537109375
1622738334.841945,722,-664.4325561523438
1622738338.812528,723,-654.6254272460938
1622738366.432409,730,-665.2462768554688
1622738402.049487,739,-658.1292724609375
1622738417.641945,743,-673.0507202148438
1622738433.231834,747,-661.6842041015625
1622738452.748001,752,-644.3675537109375
1622738468.566759,756,-709.109130859375
1622738504.280419,765,-663.4066772460938
1622738520.098068,769,-668.0325927734375
1622738527.989895,771,-658.1183471679688
1622738535.907348,773,-676.7492065429688
1622738563.63323,780,-668.8119506835938
1622738583.475032,785,-675.1521606445312
1622738591.40526,787,-668.976806640625
1622738611.372322,792,-652.655029296875
1622738619.404867,794,-667.7033081054688
1622738635.506003,798,-667.697509765625
1622738651.987739,802,-666.54736328125
1622738676.163398,808,-647.5274047851562
1622738680.16934,809,-683.2283325195312
1622738772.1453,832,-679.6553344726562
1622738788.09702,836,-718.094970703125
1622738918.835605,869,-665.0108642578125
1622738946.365123,876,-663.5953979492188
1622738969.869858,882,-670.8935546875
1622739024.823344,896,-666.460205078125
1622739040.8363,900,-665.000244140625
1622739068.308687,907,-669.2398681640625
1622739076.226346,909,-661.8465576171875
