Wall time,Step,Value
1622946268.96688,5,-979.5800170898438
1622946317.056417,18,-996.6605224609375
1622946339.715332,24,-990.7809448242188
1622946399.846336,40,-991.2169799804688
1622946407.445048,42,-992.5460815429688
1622946418.880861,45,-990.1193237304688
1622946449.082084,53,-988.1953125
1622946460.353783,56,-988.8746948242188
1622946516.988373,71,-994.4481811523438
1622946528.391563,74,-995.6503295898438
1622946604.502845,94,-998.587646484375
1622946634.881109,102,-998.6613159179688
1622946649.810929,106,-999.2846069335938
1622946726.206958,126,-999.0562133789062
1622946776.161186,139,-998.3786010742188
1622946837.5657,155,-998.5452270507812
1622946849.163238,158,-997.6626586914062
1622946883.607883,167,-996.0007934570312
1622946925.569216,178,-999.3045654296875
1622946945.110171,183,-997.4364624023438
1622946952.680008,185,-995.1448364257812
1622946956.501896,186,-995.9004516601562
1622946971.753898,190,-999.1150512695312
1622947037.806945,207,-965.7827758789062
1622947099.278596,223,-789.0496215820312
1622947122.474869,229,-813.2813720703125
1622947141.797516,234,-789.9393920898438
1622947199.769498,249,-791.5185546875
1622947222.713369,255,-772.3154907226562
1622947241.894545,260,-778.330810546875
1622947268.505434,267,-792.6621704101562
1622947283.848384,271,-777.0012817382812
1622947291.534691,273,-825.39453125
1622947364.776132,292,-805.3191528320312
1622947426.734002,308,-824.19580078125
1622947434.276165,310,-817.3513793945312
1622947464.706241,318,-801.9857177734375
1622947511.017108,330,-808.2293090820312
1622947545.262237,339,-957.0827026367188
1622947575.731767,347,-962.497802734375
1622947637.045355,363,-965.7364501953125
1622947652.521914,367,-998.5067749023438
1622947691.464018,377,-998.1029052734375
1622947861.430983,421,-950.425537109375
1622947865.24297,422,-980.7702026367188
1622947930.811204,439,-988.7145385742188
1622947938.578359,441,-993.9572143554688
1622947942.493764,442,-997.1552734375
1622947954.144965,445,-997.8486938476562
1622948011.913925,460,-988.2738647460938
1622948023.334195,463,-982.962646484375
1622948027.146644,464,-978.496337890625
1622948065.658502,474,-960.3307495117188
1622948131.602209,491,-947.745849609375
1622948139.526786,493,-935.9091796875
1622948221.126332,514,-843.4845581054688
1622948232.609381,517,-950.0382690429688
1622948263.221719,525,-898.6902465820312
1622948286.627981,531,-896.3655395507812
1622948294.488673,533,-979.919189453125
1622948306.198805,536,-962.4663696289062
1622948329.265262,542,-921.5405883789062
1622948348.308685,547,-924.0407104492188
1622948389.05393,557,-958.0264892578125
1622948412.678554,563,-986.5816650390625
1622948451.548812,573,-941.9166259765625
1622948474.641335,579,-956.6659545898438
1622948482.24938,581,-878.701171875
1622948501.385735,586,-965.82763671875
1622948505.160923,587,-950.0453491210938
1622948563.497641,602,-946.004150390625
1622948632.632004,620,-965.0623168945312
1622948640.492446,622,-971.5040893554688
1622948687.574245,634,-991.5247802734375
1622948714.840343,641,-986.1642456054688
1622948718.687967,642,-984.9166870117188
1622948726.430317,644,-985.4087524414062
1622948738.088786,647,-986.4150390625
1622948745.888089,649,-973.856201171875
1622948792.600604,661,-982.0279541015625
1622948819.69902,668,-988.6931762695312
1622948831.404525,671,-988.6608276367188
1622948843.014478,674,-977.0008544921875
1622948878.175667,683,-990.4193725585938
1622948897.572946,688,-980.6070556640625
1622948999.094006,714,-969.5117797851562
1622949014.611058,718,-995.5488891601562
1622949030.081614,722,-992.8621215820312
1622949033.864289,723,-992.7774047851562
1622949060.779315,730,-993.4969482421875
1622949095.255917,739,-992.2361450195312
1622949110.630245,743,-986.0023193359375
1622949125.962785,747,-982.3439331054688
1622949145.153572,752,-980.1369018554688
1622949160.858795,756,-969.2914428710938
1622949196.269928,765,-885.9502563476562
1622949211.971569,769,-991.8621826171875
1622949215.942543,770,-988.7867431640625
1622949219.95464,771,-951.0983276367188
1622949227.834407,773,-987.50146484375
1622949255.523002,780,-973.9482421875
1622949275.116576,785,-985.42333984375
1622949283.029906,787,-964.4673461914062
1622949302.729899,792,-971.6774291992188
1622949310.688031,794,-981.61376953125
1622949326.458349,798,-941.19189453125
1622949342.727365,802,-942.9080200195312
1622949366.154272,808,-921.52099609375
1622949370.079744,809,-988.5588989257812
1622949460.402123,832,-967.6536865234375
1622949476.210372,836,-986.8567504882812
1622949604.090109,869,-980.9813232421875
1622949623.610712,874,-964.6792602539062
1622949631.384253,876,-965.471435546875
1622949654.900954,882,-995.064453125
1622949686.579262,890,-979.5060424804688
1622949710.143091,896,-953.2599487304688
1622949725.794811,900,-973.7975463867188
1622949753.609086,907,-981.6560668945312
1622949761.595865,909,-952.9911499023438
1622949785.33884,915,-969.6314086914062
1622949793.079201,917,-956.7366333007812
1622949847.580951,931,-915.9463500976562
1622949851.506502,932,-960.4677734375
1622949890.555533,942,-949.3492431640625
1622949902.458012,945,-937.2227783203125
1622949937.961147,954,-931.7860107421875
1622949953.404854,958,-835.4397583007812
1622949968.798539,962,-954.5437622070312
1622950004.568489,971,-944.691162109375
1622950008.49315,972,-930.583740234375
1622950032.26331,978,-976.5875854492188
1622950036.24535,979,-931.8666381835938
1622950055.707414,984,-973.224365234375
1622950102.562046,996,-882.7923583984375
1622950126.807652,1002,-918.5606079101562
1622950138.676285,1005,-898.5313720703125
1622950174.458711,1014,-940.91845703125
1622950186.324043,1017,-955.6880493164062
1622950217.96496,1025,-994.31298828125
1622950265.253456,1037,-887.817138671875
1622950292.673364,1044,-996.7727661132812
1622950343.452063,1057,-902.1844482421875
1622950367.202599,1063,-996.6624145507812
1622950379.096921,1066,-964.6376342773438
1622950387.005506,1068,-989.772705078125
1622950402.949018,1072,-976.185302734375
1622950418.76926,1076,-964.64697265625
1622950426.750744,1078,-924.2525024414062
1622950446.522954,1083,-964.0985107421875
1622950450.665185,1084,-980.6956176757812
1622950486.383051,1093,-984.4258422851562
1622950510.202447,1099,-990.9163208007812
1622950526.652118,1103,-954.0755004882812
1622950530.649233,1104,-926.9118041992188
1622950570.220856,1114,-917.8786010742188
1622950589.834043,1119,-987.6602172851562
1622950645.332238,1133,-992.0667114257812
1622950735.395323,1156,-972.4984741210938
1622950751.239827,1160,-976.0885009765625
1622950755.135863,1161,-985.9363403320312
1622950759.06686,1162,-978.5526123046875
1622950830.325174,1180,-997.4977416992188
1622950877.628325,1192,-977.1705932617188
1622950881.503852,1193,-977.7344360351562
1622950905.156231,1199,-986.2706298828125
1622950933.209808,1206,-955.3745727539062
1622951036.52365,1232,-953.3648681640625
1622951044.436798,1234,-952.024169921875
1622951083.861935,1244,-996.1085205078125
1622951126.845564,1255,-854.9878540039062
1622951138.419376,1258,-901.7350463867188
1622951150.089855,1261,-974.987548828125
1622951228.674225,1281,-958.486083984375
1622951252.634866,1287,-808.5775146484375
1622951280.582952,1294,-973.2749633789062
1622951304.913187,1300,-981.9841918945312
1622951344.305478,1310,-984.4389038085938
1622951367.878855,1316,-969.7914428710938
1622951379.58441,1319,-966.3629760742188
1622951422.492005,1330,-969.9059448242188
1622951434.257288,1333,-911.8423461914062
1622951446.010028,1336,-938.2801513671875
1622951449.952598,1337,-979.6914672851562
1622951520.052055,1355,-966.8633422851562
1622951637.694307,1385,-906.9803466796875
1622951649.594157,1388,-983.4853515625
1622951661.46466,1391,-973.3630981445312
1622951665.493969,1392,-967.05322265625
1622951753.537748,1414,-954.5067138671875
1622951800.775801,1426,-756.3219604492188
1622951808.638625,1428,-962.7833251953125
1622951824.260071,1432,-884.1248779296875
1622951840.072195,1436,-936.115966796875
1622951855.721858,1440,-896.1150512695312
